x,y
-10.0,254279470.0
-9.994998749687422,253293745.29238105
-9.989997499374844,252311366.2257358
-9.984996249062265,251332323.06154886
-9.979994998749687,250356606.08493933
-9.97499374843711,249384205.60461256
-9.969992498124531,248415111.95281592
-9.964991247811954,247449315.4852926
-9.959989997499374,246486806.5812357
-9.954988747186796,245527575.64324355
-9.949987496874218,244571613.09727275
-9.94498624656164,243618909.3925934
-9.939984996249063,242669455.00174373
-9.934983745936485,241723240.42048466
-9.929982495623905,240780256.16775396
-9.924981245311328,239840492.7856227
-9.91997999499875,238903940.83924764
-9.914978744686172,237970590.91682795
-9.909977494373594,237040433.6295595
-9.904976244061015,236113459.6115896
-9.899974993748437,235189659.51997352
-9.894973743435859,234269024.03462768
-9.889972493123281,233351543.85828617
-9.884971242810703,232437209.71645558
-9.879969992498124,231526012.3573703
-9.874968742185546,230617942.55194888
-9.869967491872968,229712991.09374794
-9.86496624156039,228811148.79891887
-9.859964991247812,227912406.5061631
-9.854963740935235,227016755.07668775
-9.849962490622655,226124185.39416125
-9.844961240310077,225234688.36467025
-9.8399599899975,224348254.91667372
-9.834958739684922,223464876.00096005
-9.829957489372344,222584542.5906027
-9.824956239059764,221707245.68091616
-9.819954988747186,220832976.28941345
-9.814953738434609,219961725.45575994
-9.80995248812203,219093484.24173138
-9.804951237809453,218228243.73116964
-9.799949987496873,217365995.0299389
-9.794948737184296,216506729.26588354
-9.789947486871718,215650437.58878228
-9.78494623655914,214797111.17030674
-9.779944986246562,213946741.20397717
-9.774943735933984,213099318.90511942
-9.769942485621405,212254835.51082158
-9.764941235308827,211413282.2798917
-9.75993998499625,210574650.49281326
-9.754938734683671,209738931.4517031
-9.749937484371094,208906116.4802682
-9.744936234058514,208076196.92376262
-9.739934983745936,207249164.14894584
-9.734933733433358,206425009.5440379
-9.72993248312078,205603724.51867846
-9.724931232808203,204785300.50388333
-9.719929982495623,203969728.95200202
-9.714928732183045,203157001.33667597
-9.709927481870468,202347109.15279487
-9.70492623155789,201540043.91645503
-9.699924981245312,200735797.1649169
-9.694923730932732,199934360.4565625
-9.689922480620154,199135725.37085465
-9.684921230307577,198339883.50829265
-9.679919979994999,197546826.4903717
-9.674918729682421,196756545.95954058
-9.669917479369843,195969033.57915953
-9.664916229057264,195184281.0334583
-9.659914978744686,194402280.02749535
-9.654913728432108,193623022.2871145
-9.64991247811953,192846499.55890417
-9.644911227806952,192072703.61015582
